gear_bin,throttle_bin,rpm_bin,torque
1,0,0,330.27500915527344
1,0,250,301.3062524795532
1,0,500,39.963333225250246
1,0,750,-200.5081615837253
1,0,1000,-184.34681029649457
1,0,1250,-177.6730757493239
1,0,1500,-206.09166463216147
1,0,1750,-232.25721635370735
1,0,2000,-201.33607456352138
1,0,2250,-180.43750143051147
1,0,2500,-263.0187575817108
1,0,2750,-121.52222188313802
1,0,3000,-292.0062503814697
1,0,3250,-33.550001780192055
1,0,3500,-221.63333892822266
1,0,3750,-384.9888899061415
1,0,4000,-245.0
1,5,0,320.95682040127843
1,5,250,324.36364191228694
1,5,500,288.73333740234375
1,5,750,253.73333231608072
1,5,1000,-65.90222221657082
1,5,1250,-38.3041315945712
1,5,1500,33.81351324029871
1,5,1750,-48.355542335363054
1,5,2000,-20.41377178092818
1,5,2250,-15.997560454577934
1,5,2750,555.6000061035156
1,5,3000,259.97142900739397
1,5,3250,435.73999938964846
1,5,3500,-495.2699951171875
1,5,3750,-402.9861111111111
1,5,4000,-411.247826617697
1,5,4250,-463.56513916015626
1,5,4500,-377.87934296027476
1,5,4750,-487.8249969482422
1,10,1000,-227.5
1,10,1750,260.40102984241605
1,10,2000,209.89225404027482
1,10,2250,173.75376420379968
1,10,2500,402.5
1,10,2750,743.7999877929688
1,10,3500,-268.2999979654948
1,10,3750,-142.16655358108315
1,10,4000,-148.07777687355323
1,10,4250,-209.82641741914568
1,10,4500,79.23529310787426
1,15,1250,822.5
1,15,1500,823.7714233398438
1,15,1750,748.9196023380055
1,15,2000,533.2646987017463
1,15,3500,-21.850000381469727
1,15,3750,-17.92864323141587
1,15,4000,1.4867924564289596
1,15,4250,17.78130458334218
1,15,4500,92.06521672787873
1,20,1000,627.0999959309896
1,20,1250,752.5499877929688
1,20,1750,742.0874018916377
1,20,4000,52.47187492251396
1,20,4250,95.9210518954093
1,20,4500,213.1545498009884
1,25,1000,481.26666259765625
1,25,1750,871.6239013671875
1,25,4000,144.51730610774115
1,25,4250,147.47857012067522
1,25,4500,217.50537650815903
1,30,1000,280.0
1,30,1750,919.0567412505279
1,30,4000,250.13589947040265
1,30,4250,347.7916717529297
1,30,4500,319.18000076293947
1,35,1000,43.75
1,35,1750,982.5690351213727
1,35,4000,361.4894794664885
1,35,4250,450.6205893123851
1,35,4500,432.60151348692
1,35,4750,366.12308443509613
1,40,1750,1024.2523629324776
1,40,2000,8.699999809265137
1,40,2500,245.0
1,40,3500,1321.4000244140625
1,40,3750,1129.8500186695771
1,40,4000,1030.0749882289342
1,40,4250,781.3315734863281
1,40,4500,1033.2259295428241
1,40,4750,497.91666242811414
1,45,1000,-210.0
1,45,1750,-227.5
1,45,2750,752.5
1,45,3500,1406.691670735677
1,45,4500,1083.6083475748699
1,45,4750,904.8243936678258
1,45,5000,907.942001953125
1,50,1000,-157.5
1,50,1750,218.6999969482422
1,50,3250,1653.9000244140625
1,50,3500,1556.0454656427557
1,55,2500,-8.699999809265137
1,55,2750,743.7999877929688
1,55,3250,1693.25
1,60,1750,-175.0
1,60,3250,1723.8666585286458
1,65,1750,-26.200000762939453
1,65,2000,61.20000076293945
1,65,3250,1737.0
1,70,3250,1732.5999755859375
1,75,3250,1732.5999755859375
1,80,2000,192.5
1,80,3250,1730.4249877929688
1,85,3000,1706.4000244140625
1,85,3250,1715.0999755859375
1,90,2000,393.7000122070313
1,90,3000,1688.9000244140625
1,95,2000,1009.2416636149088
1,95,2250,1140.8550094604493
1,95,2500,1201.3214460100446
1,95,2750,1229.3459439664273
1,95,3000,1490.9041646321614
2,0,1750,-161.00000381469727
2,0,2000,-176.3963149110293
2,0,2250,-179.18687000397261
2,0,2500,-221.65673441076544
2,0,2750,-288.3614229487177
2,0,3000,-314.53895643737417
2,0,3500,-258.7111149540654
2,0,3750,-233.93750429153442
2,0,4000,-218.13571630205428
2,0,4250,-218.25577075664813
2,0,4500,-246.48750267028808
2,0,4750,-247.75448016266324
2,0,5000,-238.43333411939216
2,0,5250,-224.27500343322754
2,0,5500,-225.23999938964843
2,0,5750,-219.78400451660156
2,5,1750,-157.5
2,5,2000,-64.75062136324296
2,5,2250,-90.11127379841496
2,5,2500,-156.56353032666874
2,5,2750,-225.2069553825781
2,5,3000,-300.4902231476405
2,5,3250,-304.61956965790273
2,5,3500,-311.54409352775036
2,5,3750,-295.3811040828326
2,5,4000,-301.1425274804489
2,5,4250,-267.0264410724422
2,5,4500,-277.65795672580106
2,5,4750,-271.95362601056195
2,5,5000,-250.16356076279732
2,5,5250,-247.40173811474745
2,5,5500,-263.68178076493115
2,5,5750,-159.09843841195107
2,5,6000,-167.10000240175347
2,10,1750,-157.5
2,10,2000,171.6247683752432
2,10,2250,155.1448033083997
2,10,2500,91.71802540885078
2,10,2750,-23.09785892519246
2,10,3000,-91.0742587082049
2,10,3250,-96.71378858342052
2,10,3500,-147.6930112582381
2,10,3750,-67.36232305180926
2,10,4000,-106.18502089272627
2,10,4250,-47.05104059512003
2,10,4500,-150.23296783782624
2,10,4750,-43.27358778467718
2,10,5000,3.846563848830365
2,10,5250,31.154621957730846
2,10,5500,1006.7999877929688
2,10,5750,716.6
2,10,6000,171.72353040470796
2,15,2000,336.5923098050631
2,15,2250,377.24029423640326
2,15,2500,268.82711086563387
2,15,2750,142.39738189152308
2,15,3000,61.39920721190101
2,15,3250,34.12500015707577
2,15,3500,17.605613992925274
2,15,3750,14.891394801946351
2,15,4000,7.604708577485362
2,15,4250,29.00347406464925
2,15,4500,-17.668115348631634
2,15,4750,9.028574453081404
2,15,5000,22.26932901315415
2,15,5250,-10.84483803218612
2,15,5500,260.46896730620284
2,15,5750,569.2099914550781
2,15,6000,133.63333347865515
2,20,2250,443.1414195404956
2,20,2500,347.504224659271
2,20,2750,204.54384382604965
2,20,3000,118.74416912992302
2,20,3250,137.16097551206263
2,20,3500,127.73372531965667
2,20,3750,144.54270642250776
2,20,4000,71.54202898919294
2,20,4250,234.55599957552823
2,20,4500,73.03509907375108
2,20,4750,253.40526219418174
2,20,5000,19.468764014369093
2,20,5250,14.62298638948658
2,20,5500,392.5517236117659
2,20,5750,724.1874961853027
2,20,6000,122.55034536164382
2,25,2250,462.8999969482422
2,25,2500,398.0560999022355
2,25,2750,286.3151228369736
2,25,3000,177.4733825793369
2,25,3250,211.0803574017116
2,25,3500,207.62987022895317
2,25,3750,213.34044811430942
2,25,4000,153.04489708919914
2,25,4250,302.9049250461815
2,25,4500,139.13904745919365
2,25,4750,375.0387074870448
2,25,5000,210.81566791490476
2,25,5250,640.9999979337057
2,25,5500,528.7153789813702
2,25,5750,489.85908647017044
2,25,6000,155.70764103125893
2,30,2500,426.33846294696514
2,30,2750,359.249627020126
2,30,3000,222.38194465637207
2,30,3250,292.8784944267683
2,30,3500,226.4260584871534
2,30,3750,343.94838616155806
2,30,4000,298.95274520706346
2,30,4250,483.1201591530154
2,30,4500,177.82817088382345
2,30,4750,585.899996693929
2,30,5000,263.43555496851604
2,30,5250,959.9124928116798
2,30,5500,965.7538499098557
2,30,5750,829.5391215448794
2,30,6000,141.12378442615082
2,35,2500,490.6588215547449
2,35,2750,397.13609027145503
2,35,3000,302.4307104396069
2,35,3250,344.26581666907487
2,35,3500,296.95240526932935
2,35,3750,359.29161729641305
2,35,4000,337.4628859057869
2,35,4250,728.7892203166567
2,35,4500,274.1232890298922
2,35,4750,483.7153817201272
2,35,5000,344.7589108023313
2,35,5250,1257.1583455403645
2,35,5500,1400.5833333333333
2,35,5750,784.2428571428571
2,35,6000,777.2281963641827
2,40,2500,503.07777913411456
2,40,2750,431.5314386541193
2,40,3000,490.4891001383464
2,40,3250,532.524062575581
2,40,3500,528.0253131077762
2,40,3750,545.1639266422817
2,40,4000,647.2190611585439
2,40,4250,845.6155035767374
2,40,4500,679.6214230128697
2,40,4750,925.3565188421719
2,40,5000,837.271498605995
2,40,5250,1127.774990081787
2,40,5500,1068.5063213879548
2,40,5750,972.2585345012386
2,40,6000,1038.0166549682617
2,45,2500,550.899997108861
2,45,2750,480.82476946629515
2,45,3000,555.7945455608316
2,45,3250,641.1720874254094
2,45,3500,717.4086957711003
2,45,3750,573.9116582971579
2,45,4000,783.3161288845923
2,45,4250,1032.8226429213826
2,45,4500,788.9852302090434
2,45,4750,1062.0013782835226
2,45,5000,1248.549139404297
2,45,5250,1031.7549279441296
2,45,5500,1282.6841227213542
2,45,5750,1230.0452538852035
2,45,6000,1196.78704746164
2,45,6250,1136.199951171875
2,50,2500,620.9599975585937
2,50,2750,532.2261974884433
2,50,3000,612.2899691699992
2,50,3250,742.0999954317246
2,50,3500,832.1104987866951
2,50,3750,851.7257956002504
2,50,4000,924.7572889252114
2,50,4250,918.9111061096191
2,50,4500,1053.8799981011284
2,50,4750,1182.917852855864
2,50,5000,1248.65576171875
