s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0,-3.2387827,4.3941613,2.5689656,0.000712,52.243995,3.4764619
1.9999639,-4.3212602,2.7124276,2.5704026,0.0007252,52.3769092,3.4712473
3.9999279,-5.4012269,1.0291657,2.5718641,0.000733,52.5092883,3.4660405
5.9998918,-6.4787793,-0.6557122,2.5733496,0.0007529,52.6411366,3.4608415
7.9998558,-7.5537402,-2.3421946,2.5748747,0.0007684,52.7724586,3.4556504
9.9998197,-8.626143,-4.0303377,2.5764392,0.0007963,52.9032583,3.450467
11.9997836,-9.6958163,-5.7201989,2.5780603,0.0008197,53.0335399,3.4452914
13.9997476,-10.7627374,-7.4117954,2.5797351,0.0008554,53.1633076,3.4401235
15.9997115,-11.8267327,-9.1052556,2.5814843,0.0008865,53.2925653,3.4349634
17.9996755,-12.8877316,-10.8005585,2.5833003,0.00093,53.4213171,3.4298111
19.9996394,-13.9455466,-12.4979011,2.5852111,0.0009695,53.5495669,3.4246665
21.9996033,-15.0000694,-14.1972291,2.5872018,0.0010221,53.6773187,3.4195295
23.9995673,-16.0510949,-15.8987928,2.5893053,0.0010697,53.8045761,3.4144003
25.9995312,-17.0984728,-17.6025277,2.5915057,0.0011314,53.9313431,3.4092788
27.9994951,-18.1419839,-19.3087204,2.5938366,0.0011877,54.0576233,3.404165
29.9994591,-19.1814254,-21.0173107,2.5962809,0.0012563,54.1834204,3.3990589
31.999423,-20.2165436,-22.7286149,2.5988653,0.0013103,54.3087381,3.3939604
33.999387,-21.2471788,-24.4425447,2.6015483,0.0013709,54.43358,3.3888695
35.9993509,-22.2730474,-26.1593966,2.6043459,0.0014069,54.5579496,3.3837863
37.9993148,-23.2941254,-27.8790522,2.6072027,0.0014478,54.6818505,3.3787107
39.9992788,-24.3101277,-29.601734,2.6101307,0.0014612,54.805286,3.3736427
41.9992427,-25.3211605,-31.3273186,2.6130757,0.0014817,54.9282596,3.3685824
43.9992067,-26.3269745,-33.0559629,2.6160517,0.001475,55.0507746,3.3635296
45.9991706,-27.3277578,-34.7875076,2.6190051,0.0014765,55.1728344,3.3584844
47.9991345,-28.3233322,-36.5220832,2.6219501,0.0014502,55.2944424,3.3534467
49.9990985,-29.3139396,-38.2594708,2.6248346,0.0014321,55.4156016,3.3484167
51.9990624,-30.2994674,-39.9997747,2.6276725,0.0013864,55.5363154,3.3433941
53.9990264,-31.2802422,-41.7427387,2.6304097,0.0013489,55.6565869,3.3383791
55.9989903,-32.2561951,-43.4884189,2.6330625,0.0012847,55.7764192,3.3333716
57.9989542,-33.2277493,-45.2365403,2.6355798,0.0012321,55.8958154,3.3283717
59.9989182,-34.1948988,-46.9871102,2.6379882,0.0011639,56.0147787,3.3233792
61.9988821,-35.1580379,-48.7398728,2.6402656,0.0011145,56.1333119,3.3183942
63.9988461,-36.1172093,-50.4948397,2.6424498,0.0010594,56.2514182,3.3134167
65.99881,-37.0726884,-52.2517757,2.644532,0.0010239,56.3691003,3.3084467
67.9987739,-38.0245298,-54.0107469,2.6465527,0.0009857,56.4863614,3.3034841
69.9987379,-38.9729076,-55.7715122,2.6485019,0.0009644,56.6032041,3.298529
71.9987018,-39.9178727,-57.5342026,2.6504141,0.00094,56.7196315,3.2935813
73.9986657,-40.8595125,-59.298569,2.6522854,0.0009322,56.8356462,3.288641
75.9986297,-41.797862,-61.0648042,2.6541452,0.0009214,56.9512512,3.2837081
77.9985936,-42.7329339,-62.8326532,2.6559934,0.0009279,57.066449,3.2787826
79.9985576,-43.6647397,-64.6023602,2.6578562,0.0009308,57.1812426,3.2738646
81.9985215,-44.5932195,-66.37368,2.6597375,0.0009514,57.2956344,3.2689539
83.9984854,-45.5183544,-68.14689,2.6616606,0.0009684,57.4096273,3.2640505
85.9984494,-46.4400168,-69.9217732,2.6636301,0.0010013,57.5232237,3.2591545
87.9984133,-47.3581341,-71.6986215,2.665662,0.0010241,57.6364264,3.2542659
89.9983773,-48.272591,-73.4772398,2.6677455,0.0010587,57.7492379,3.2493846
91.9983412,-49.1832659,-75.2579015,2.6698887,0.0010771,57.8616608,3.2445106
93.9983051,-50.0901101,-77.0404247,2.6720735,0.0011071,57.9736974,3.2396439
95.9982691,-50.9929795,-78.8250427,2.6743036,0.0011176,58.0853504,3.2347845
97.998233,-51.891881,-80.6115964,2.6765638,0.0011421,58.1966222,3.2299324
99.998197,-52.7866588,-82.4002763,2.6788597,0.0011467,58.3075153,3.2250876
101.9981609,-53.677366,-84.1909384,2.6811724,0.0011655,58.4180319,3.2202501
103.9981248,-54.5638426,-85.9837383,2.6835121,0.001165,58.5281746,3.2154198
105.9980888,-55.4461821,-87.7785441,2.6858559,0.0011782,58.6379456,3.2105967
107.9980527,-56.3242256,-89.5754816,2.6882165,0.0011722,58.7473474,3.2057809
109.9980167,-57.1981038,-91.3744262,2.6905691,0.0011798,58.8563821,3.2009724
111.9979806,-58.0676625,-93.1754816,2.6929283,0.0011685,58.9650522,3.196171
113.9979445,-58.9330654,-94.9785209,2.6952685,0.0011715,59.0733597,3.1913768
115.9979085,-59.7941723,-96.7836304,2.697607,0.0011579,59.1813071,3.1865898
117.9978724,-60.6511508,-98.5906923,2.6999254,0.0011606,59.2888964,3.18181
119.9978364,-61.5038683,-100.3997776,2.7022427,0.0011487,59.3961299,3.1770374
121.9978003,-62.3524775,-102.2107887,2.7045449,0.0011535,59.5030097,3.1722719
123.9977642,-63.1968421,-104.0237889,2.7068512,0.0011446,59.6095381,3.1675136
125.9977282,-64.0371035,-105.8386919,2.7091477,0.0011518,59.715717,3.1627624
127.9976921,-64.8731153,-107.6555635,2.711453,0.0011451,59.8215486,3.1580184
129.997656,-65.7050138,-109.4743153,2.7137529,0.001155,59.927035,3.1532814
131.99762,-66.5326347,-111.2950078,2.7160674,0.0011516,60.0321782,3.1485516
133.9975839,-67.3561118,-113.1175734,2.7183852,0.0011669,60.1369803,3.1438289
135.9975479,-68.1752822,-114.9420931,2.7207294,0.0011725,60.2414433,3.1391132
137.9975118,-68.9901993,-116.7684766,2.7230999,0.0011988,60.3455691,3.1344046
139.9974757,-69.8007124,-118.5969064,2.7255208,0.0012154,60.4493598,3.1297031
141.9974397,-70.6067806,-120.4272022,2.727987,0.001251,60.5528174,3.1250086
143.9974036,-71.408246,-122.2596296,2.7305175,0.0012725,60.6559437,3.1203212
145.9973676,-72.2050544,-124.0939835,2.7331019,0.0013119,60.7587406,3.1156408
147.9973315,-72.9970164,-125.930528,2.7357546,0.001335,60.8612101,3.1109674
149.9972954,-73.7840946,-127.7690891,2.7384669,0.0013772,60.9633541,3.106301
151.9972594,-74.5660639,-129.6099023,2.741252,0.0014019,61.0651744,3.1016417
153.9972233,-75.3429019,-131.4528248,2.744101,0.001447,61.1666728,3.0969893
155.9971873,-76.114347,-133.2980632,2.7470293,0.0014739,61.2678513,3.0923439
157.9971512,-76.8803943,-135.1455082,2.7500249,0.0015217,61.3687115,-6.7427667
159.9971151,-77.6407437,-136.9953344,2.7531066,0.0015509,61.1485746,-7.0210373
161.9970791,-78.395409,-138.847469,2.756259,0.0016016,60.9185073,-6.973924
163.997043,-79.144053,-140.7020524,2.7595032,0.0016328,60.6891204,-6.8826486
165.997007,-79.8867053,-142.5590468,2.7628223,0.0016863,60.4618825,-6.831122
167.9969709,-80.6229931,-144.4185593,2.7662387,0.0017195,60.2354982,-6.7313969
169.9969348,-81.3529606,-146.2805863,2.7697344,0.001776,60.0115834,-6.6776826
171.9968988,-82.076201,-148.1452033,2.7733313,0.0018101,59.7886268,-6.5720807
173.9968627,-82.7927768,-150.0124346,2.7770096,0.001868,59.5683812,-6.5162364
175.9968266,-83.5022488,-151.8823267,2.7807926,0.0019027,59.3492002,-6.4051799
177.9967906,-84.2047013,-153.7549245,2.7846572,0.0019615,59.132963,-6.3478466
179.9967545,-84.8996666,-155.630248,2.7886287,0.0019966,58.9178783,-6.2302062
181.9967185,-85.5872491,-157.5083638,2.7926823,0.0020567,58.7060134,-6.1716236
183.9966824,-86.2669549,-159.3892652,2.7968447,0.0020918,58.4953841,-6.0467554
185.9966463,-86.9389055,-161.2730368,2.80109,0.0021531,58.2882782,-5.9865188
187.9966103,-87.6025822,-163.1596481,2.8054464,0.0021884,58.0825079,-5.8553915
189.9965742,-88.2581226,-165.0491968,2.8098857,0.0022503,57.8805372,-5.7909511
191.9965382,-88.9049833,-166.941633,2.8144397,0.0022866,57.6800936,-5.6538145
193.9965021,-89.5433191,-168.8370676,2.8190758,0.0023486,57.4837225,-5.5822887
195.996466,-90.1725612,-170.7354331,2.8238312,0.0023866,57.2891752,-5.4326193
197.99643,-90.7928777,-172.636844,2.8286691,0.0024505,57.0992076,-5.3585447
199.9963939,-91.4036806,-174.5412209,2.8336276,0.0024883,56.9112091,-5.1957657
201.9963579,-92.0051459,-176.4486793,2.8386703,0.0025535,56.7283265,-5.115633
203.9963218,-92.5966664,-178.3591318,2.8438367,0.002592,56.5476867,-4.9356705
205.9962857,-93.1784278,-180.2726917,2.8490884,0.0026588,56.3728529,-4.848811
207.9962497,-93.7498029,-182.1892668,2.8544668,0.0026976,56.2005662,-4.6486986
209.9962136,-94.3109865,-184.1089602,2.8599309,0.0027656,56.0348926,-4.5497699
211.9961776,-94.8613269,-186.0316799,2.8655276,0.0028054,55.8722689,-4.321562
213.9961415,-95.401034,-187.957518,2.8712086,0.0028749,55.7173626,-4.2036366
215.9961054,-95.9294261,-189.8863873,2.8770301,0.0029161,55.5662691,-3.9321202
217.9960694,-96.4467303,-191.8183596,2.8829341,0.0029876,55.4245619,-3.7815463
219.9960333,-96.952242,-193.7533603,2.8889852,0.0030308,55.2879385,-3.4368241
221.9959972,-97.4461882,-195.6914331,2.8951209,0.0031045,55.1634761,-3.2279998
223.9959612,-97.9278684,-197.6325197,2.9014049,0.0031494,55.0463199,-2.7465283
225.9959251,-98.3974742,-199.5766292,2.9077789,0.0032229,54.9464413,-2.4928131
227.9958891,-98.8543116,-201.5236941,2.9142915,0.0032595,54.8556318,-1.7567912
229.995853,-99.2986149,-203.4737203,2.9208721,0.0033174,54.7915441,-1.750339
231.9958169,-99.7296955,-205.4266557,2.9275496,0.0033225,54.7276171,-1.1214848
233.9957809,-100.1479995,-207.3823868,2.9342201,0.0033438,54.6866183,-1.1214848
235.9957448,-100.5529473,-209.3409731,2.9409057,0.0033097,54.6455887,-0.0535189
237.9957088,-100.9451375,-211.3020885,2.9475173,0.0032993,54.6436299,0.0821121
239.9956727,-101.3241328,-213.2658862,2.9540902,0.0032437,54.6466351,0.6189436
241.9956366,-101.6905749,-215.2319779,2.9605527,0.003217,54.6692826,0.8038457
243.9956006,-102.0441169,-217.2005113,2.9669508,0.0031495,54.6986817,1.2208586
245.9955645,-102.3854392,-219.1711234,2.973212,0.0031099,54.7433022,1.4135681
247.9955285,-102.7142574,-221.1439377,2.9793832,0.0030306,54.7949204,1.7772459
249.9954924,-103.0312982,-223.1186042,2.9853937,0.0029784,54.8597499,0.5273654
251.9954563,-103.3363361,-225.0952316,2.9912876,0.0028883,54.8789721,-4.5788149
253.9954203,-103.6301354,-227.0734872,2.9970042,0.0028276,54.7118511,-4.8465467
255.9953842,-103.9125371,-229.0534707,3.0025877,0.0027359,54.5344003,-5.1827018
257.9953482,-104.184264,-231.0348707,3.0080005,0.002677,54.3440004,-5.391948
259.9953121,-104.445198,-233.0178068,3.0132893,0.0025936,54.1452027,-5.6447942
261.995276,-104.6959818,-235.0019543,3.0184246,0.0025417,53.9362977,-5.8024665
263.99524,-104.9365114,-236.987482,3.0234503,0.0024672,53.7207107,-5.9967483
265.9952039,-105.1673675,-238.9740355,3.0283388,0.0024212,53.4969924,-6.1194574
267.9951679,-105.38845,-240.9618368,3.0331296,0.0023548,53.2677277,-6.2717266
269.9951318,-105.6002849,-242.9504992,3.0378007,0.0023164,53.0317297,-6.3649921
271.9950957,-105.8027762,-244.9402958,3.0423813,0.0022553,52.7911436,-6.4893866
273.9950597,-105.9963968,-246.9308039,3.0468594,0.0022229,52.5447216,-6.5616503
275.9950236,-106.1810487,-248.9223449,3.0512586,0.0021689,52.2943749,-6.6611628
277.9949875,-106.3571596,-250.9144715,3.0555692,0.0021417,52.0389995,-6.7177031
279.9949515,-106.5246233,-252.907543,3.0598147,0.0020956,51.780181,-6.7958733
281.9949154,-106.6838249,-254.901089,3.0639848,0.0020743,51.5170277,-6.8388643
283.9948794,-106.8346487,-256.8954973,3.0680973,0.0020317,51.2508456,-6.9048571
285.9948433,-106.9774592,-258.8902846,3.0721418,0.0020123,50.980685,-6.940814
287.9948072,-107.1121351,-260.8858506,3.0761308,0.001971,50.707667,-6.9985918
289.9947712,-107.2390367,-262.8817158,3.0800548,0.0019527,50.4308797,-7.0293918
291.9947351,-107.358046,-264.8782771,3.0839217,0.0019112,50.1513366,-7.0813888
293.9946991,-107.4695141,-266.8750681,3.0877261,0.0018929,49.8681414,-7.1084086
295.994663,-107.5733231,-268.8724758,3.0914759,0.0018525,49.5822388,-7.1538168
297.9946269,-107.6698216,-270.870052,3.0951628,0.0018343,49.2928357,-7.1773836
299.9945909,-107.7588821,-272.8681666,3.0988003,0.0017953,49.0007616,-7.216601
301.9945548,-107.8408616,-274.8663985,3.102373,0.0017774,48.7053257,-7.2368724
303.9945188,-107.9156207,-276.8650928,3.1059027,0.0017419,48.4072493,-7.2690245
305.9944827,-107.9835114,-278.8638615,3.1093713,0.0017272,48.1059893,-7.284326
307.9944466,-108.044406,-280.8630229,3.1128035,0.0016991,47.8021906,-7.3077609
309.9944106,-108.0985834,-282.8622207,3.116193,0.0016905,47.495462,-7.3169386
311.9943745,-108.1459223,-284.8617399,3.1195567,0.0016673,47.1863506,-7.3347391
313.9943385,-108.1866611,-286.861267,3.1228822,0.0016567,46.8744414,-7.3437086
315.9943024,-108.2206613,-288.8610421,3.1261709,0.001621,46.5600575,-7.3664983
317.9942663,-108.2482779,-290.8608002,3.1293869,0.0015929,46.2425507,-7.3832833
319.9942303,-108.2694076,-292.860746,3.1325259,0.0015398,45.9221177,-7.4114919
321.9941942,-108.2844875,-294.8606423,3.1355655,0.0014991,45.5981958,-7.4310025
323.9941581,-108.2934709,-296.8606765,3.1385121,0.001442,45.2710944,-7.4558952
325.9941221,-108.2967758,-298.8606315,3.1413542,0.0013999,44.9405045,-7.4717905
327.994086,-108.294383,-300.8606803,-3.1390764,0.0013455,44.6067519,-7.4906385
329.99405,-108.2866872,-302.8606277,-3.1364267,0.0013042,44.2696318,-7.5024332
331.9940139,-108.2736836,-304.8606322,-3.1338613,0.0012519,43.9293878,-7.516323
333.9939778,-108.255745,-306.860518,-3.1313985,0.0012109,43.5858505,-7.5246806
335.9939418,-108.2328839,-308.8604309,-3.1290205,0.0011599,43.2391973,-7.5345248
337.9939057,-108.2054482,-310.8602126,-3.1267414,0.001119,42.8892834,-7.5399273
339.9938697,-108.1734671,-312.8599973,-3.1245487,0.0010682,42.536237,-7.5465261
341.9938336,-108.1372732,-314.8596424,-3.1224543,0.0010259,42.179923,-7.5495853
343.9937975,-108.0969127,-316.8592735,-3.1204493,0.0009744,41.8204269,-7.5534542
345.9937615,-108.0527105,-318.8587598,-3.1185444,0.0009301,41.457627,-7.5545147
347.9937254,-108.0047303,-320.8582213,-3.1167318,0.0008779,41.0915724,-7.5552269
349.9936894,-107.9532903,-322.857536,-3.1150231,0.0008301,40.7221924,-7.5539376
351.9936533,-107.8984685,-324.8568212,-3.1134058,0.0007795,40.349495,-7.5510609
353.9936172,-107.8405756,-326.8559608,-3.1118935,0.0007327,39.9734668,-7.5479447
355.9935812,-107.779716,-328.8550705,-3.110481,0.0006804,39.594025,-7.541572
357.9935451,-107.7161669,-330.854035,-3.109154,0.0006496,39.2112366,-7.5386734
359.9935091,-107.6501041,-332.852973,-3.1079696,0.0005777,38.8248235,-7.5301777
361.993473,-107.5817358,-334.85178,-3.1068399,0.0005576,38.4349679,-7.5266347
363.9934369,-107.5113037,-336.8505745,-3.1058836,0.0004676,38.0413033,-7.518998
365.9934009,-107.4389997,-338.8492499,-3.1049972,0.0004199,37.6439279,-7.5113288
