# 514c39b0-0e10-4e26-851e-0274e230f485
# 36509072e6f9469bf990e08fab9cd12a905deb14
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.0807558; -0.7122199; -2.7833747; -0.0003708; 54.6863386; 2.7098928
1.9994393; -1.3804291; -2.5850150; -2.7841157; -0.0003705; 54.7853279; 2.6959301
3.9988787; -0.6815007; -4.4582996; -2.7848562; -0.0003702; 54.8836301; 2.6820572
5.9983180; 0.0160535; -6.3321310; -2.7855942; -0.0003680; 54.9812520; 2.6682730
7.9977574; 0.7122168; -8.2064431; -2.7863279; -0.0003659; 55.0782006; 2.6545769
9.9971967; 1.4070267; -10.0812895; -2.7870453; -0.0003517; 55.1744824; 2.6409679
11.9966360; 2.1005088; -11.9565995; -2.7877344; -0.0003376; 55.2701042; 2.6274454
13.9960754; 2.7927391; -13.8323936; -2.7883841; -0.0003123; 55.3650725; 2.6140085
15.9955147; 3.4837929; -15.7086061; -2.7889832; -0.0002870; 55.4593938; 2.6006565
17.9949541; 4.1737752; -17.5852250; -2.7895296; -0.0002595; 55.5530743; 2.5873885
19.9943934; 4.8627808; -19.4621940; -2.7900210; -0.0002321; 55.6461204; 2.5742039
21.9938327; 5.5509179; -21.3394890; -2.7904575; -0.0002046; 55.7385383; 2.5611019
23.9932721; 6.2382851; -23.2170598; -2.7908391; -0.0001771; 55.8303339; 2.5480818
25.9927114; 6.9249892; -25.0948786; -2.7911656; -0.0001496; 55.9215133; 2.5351428
27.9921508; 7.6111302; -26.9728988; -2.7914372; -0.0001221; 56.0120825; 2.5204719
29.9915901; 8.2968120; -28.8510905; -2.7916572; -0.0000980; 56.1019825; 2.4942172
31.9910294; 8.9821247; -30.7294138; -2.7918290; -0.0000739; 56.1908046; 2.4682714
33.9904688; 9.6671517; -32.6078440; -2.7919672; -0.0000644; 56.2785646; 2.4426300
35.9899081; 10.3519361; -34.4863603; -2.7920866; -0.0000550; 56.3652785; 2.4172887
